ms,id,data
30906,710,03222A2A55555555
30911,77A,1053622A2A010203
30912,710,3000005555555555
30921,77A,210304050608090E
30931,77A,221011138B341516
30941,77A,23171718191B1E20
30951,77A,2422282E30363C3D
30962,77A,253E424647525355
30971,77A,265657855F622665
30981,77A,27696C6D6F723B7F
30991,77A,288284485B88898A
31001,77A,298D8F90AC44818E
31011,77A,2AC0A940518CBA14
31021,77A,2B00000000000000
31109,710,032204A355555555
31111,77A,100D6204A3FDA1E8
31112,710,3000005555555555
31121,77A,210CFE62600D0000
31133,710,03222A2655555555
31141,77A,100D622A26FDA1E8
31142,710,3000005555555555
31151,77A,210CFE62600D0000
31160,710,03222A2855555555
31162,77A,100D622A28F1A088
31163,710,3000005555555555
31171,77A,2108D04200000000
31180,710,03222A2955555555
31181,77A,1053622A29010101
31182,710,3000005555555555
31191,77A,2101000202010202
31201,77A,2202010101010102
31211,77A,2301000201030202
31221,77A,2401010202020202
31231,77A,2502020202020101
31241,77A,2602020102020101
31251,77A,2702030101020102
31261,77A,2801010202010101
31271,77A,2901010101010101
31281,77A,2A01010101010102
31291,77A,2B00000000000000
31306,710,03222A2B55555555
31311,77A,037F2231AAAAAAAA
45005,746,023E005555555555
45014,7B0,027E00AAAAAAAAAA
45027,746,0322F19E55555555
45034,7B0,101762F19E45565F
45035,746,3000005555555555
45045,7B0,21416972436F6E64
45055,7B0,2269426173697355
45066,7B0,23445300AAAAAAAA
45073,746,0322F1A255555555
45075,7B0,100962F1A2303032
45076,746,3000005555555555
45085,7B0,21303434AAAAAAAA
45100,746,0210035555555555
45105,7B0,065003003201F4AA
45183,746,10092EF198000000
45185,7B0,300F05AAAAAAAAAA
45191,746,2100002E55555555
45194,7B0,036EF198AAAAAAAA
45203,746,062EF19926061755
45204,7B0,036EF199AAAAAAAA
1449907,200,26C00010000301
1449911,226,00D00003C60401
1449921,4C6,A00F8AFF32FF
1449931,300,A10F8AFF4AFF
1449982,4C6,1000021A9B
1449991,300,B1
1450001,300,1000037F1A11
1450003,4C6,B1
1450015,4C6,21000D22F187F189
1450025,4C6,22F191F1A3F1A5F1
1450035,4C6,13DF
1450040,300,B4
1450051,300,21003162F1873447
1450061,300,2238393539373630
1450071,300,234120F189303135
1450081,300,2433F19134473839
1450091,300,2535393736304120
1450101,300,26F1A3483033F1A5
1450111,300,27000646220907F1
1450121,300,18DF40
1450124,4C6,B9
1450134,4C6,140003220600
1450140,300,B5
1450151,300,29001A620600C058
1450161,300,2A1B008F00200100
1450171,300,2B00010101011020
1450181,300,1C30303232203232
1450183,4C6,BD
1450193,4C6,15000322F197
1450200,300,B6
1450211,300,2D001062F1974D45
1450221,300,2E4D2D4653202020
1450231,300,1F20202020
1450233,4C6,B0
1450249,4C6,160003220607
1450250,300,B7
1450261,300,1000037F2231
1450263,4C6,B1
1450273,4C6,170003220606
1450280,300,B8
1450291,300,2100096206060000
1450301,300,1200000000
1450302,4C6,B3
1450317,4C6,180003220760
1450320,300,B9
1450331,300,1300037F2231
1450333,4C6,B4
1450356,4C6,19000322F18C
1450361,300,BA
1450371,300,24001162F18C3030
1450381,300,2530303130303233
1450391,300,163933363733
1450393,4C6,B7
1450403,4C6,1A000322F17E
1450410,300,BB
1450421,300,27000B62F17E4141
1450431,300,18303030303030
1450433,4C6,B9
1450443,4C6,1B000322F17C
1450451,300,BC
1450461,300,29001A62F17C4355
1450471,300,2A352D5349423231
1450481,300,2B2E30332E313130
1450491,300,1C30303230393638
1450493,4C6,BD
1450512,4C6,1C000431B80000
